Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2021",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,Universities and Colleges,,1,2,3,0,0,0,,,,,
,,Fort Lewis College,1,1,1,0,0,0,1,0,0,2,"3,766"
,,University of Colorado:,,,,,,,,,,,
,,  Boulder2,0,0,2,0,0,0,0,0,1,0,"41,826"
,,  Colorado Springs,0,1,0,0,0,0,0,1,0,0,"16,715"
,Metropolitan Counties,,21,10,10,1,0,2,,,,,
,,Adams,1,0,0,0,0,0,1,0,0,0,
,,Arapahoe2,11,7,0,0,0,1,1,7,3,3,
,,Boulder2,1,1,2,0,0,0,0,1,2,0,
,,Douglas2,1,0,3,0,0,0,0,0,2,1,
,,El Paso,1,0,0,0,0,0,0,0,0,1,
,,Jefferson2,2,2,1,0,0,0,1,0,3,0,
,,Larimer2,2,0,4,1,0,1,0,1,5,1,
,,Park,1,0,0,0,0,0,1,0,0,0,
,,Weld,1,0,0,0,0,0,0,0,0,1,
,Nonmetropolitan Counties,,6,0,2,1,0,3,,,,,
,,Bent,0,0,1,0,0,0,0,0,0,1,
,,Fremont,1,0,0,0,0,0,0,1,0,0,
,,Garfield,0,0,0,0,0,1,0,0,1,0,
,,Huerfano,1,0,0,0,0,2,0,1,1,1,
,,Montrose,1,0,0,0,0,0,1,0,0,0,
,,Routt,0,0,1,1,0,0,0,0,2,0,
,,Summit,3,0,0,0,0,0,1,1,0,1,
Connecticut,Total,,65,9,17,1,0,0,,,,,
,Cities,,59,7,16,1,0,0,,,,,
,,Bethel,0,0,1,0,0,0,0,1,0,0,"20,066"
,,Bridgeport,1,0,0,0,0,0,0,0,0,1,"143,394"
,,Coventry,1,0,0,0,0,0,0,1,0,0,"12,384"
,,Danbury,3,0,0,0,0,0,2,0,1,0,"84,631"
,,Darien,1,0,0,0,0,0,0,0,1,0,"21,790"
,,East Hampton,0,0,1,0,0,0,0,1,0,0,"12,726"
,,Fairfield,1,0,0,0,0,0,0,0,0,1,"62,473"
,,Glastonbury,2,0,0,0,0,0,1,1,0,0,"34,424"
,,Hamden,2,0,1,0,0,0,0,1,1,1,"60,165"
,,Manchester,2,0,1,0,0,0,2,0,1,0,"57,274"
,,Meriden,2,0,0,0,0,0,0,2,0,0,"58,799"
,,Middletown,2,0,1,0,0,0,0,0,0,3,"45,852"
,,Milford,1,1,0,0,0,0,1,0,1,0,"54,984"
,,Naugatuck,1,0,1,0,0,0,2,0,0,0,"30,810"
,,New Britain2,4,0,0,0,0,0,1,1,0,1,"72,093"
,,New Haven,3,1,1,1,0,0,1,2,2,1,"130,903"
,,Newington,1,0,0,0,0,0,0,0,0,1,"29,803"
,,New London,0,1,0,0,0,0,0,0,0,1,"26,797"
,,Newtown,1,0,0,0,0,0,0,1,0,0,"27,858"
,,North Haven,1,0,0,0,0,0,0,0,1,0,"23,504"
,,Norwich,1,0,0,0,0,0,0,1,0,0,"38,431"
,,Old Saybrook,1,0,0,0,0,0,0,1,0,0,"10,007"
,,Orange,1,1,0,0,0,0,0,1,1,0,"13,874"
,,Plainfield,2,0,0,0,0,0,0,1,0,1,"15,053"
,,Plymouth,3,0,0,0,0,0,1,1,1,0,"11,486"
,,Ridgefield,1,0,0,0,0,0,1,0,0,0,"24,919"
,,Seymour,1,0,1,0,0,0,0,1,0,1,"16,306"
,,Shelton,1,0,0,0,0,0,1,0,0,0,"41,095"
,,Southington,2,0,0,0,0,0,0,1,0,1,"43,897"
,,South Windsor,0,0,1,0,0,0,0,0,0,1,"26,142"
,,Stamford,10,2,4,0,0,0,6,3,3,4,"132,292"
,,Stratford,1,0,0,0,0,0,0,1,0,0,"51,683"
,,Suffield,1,0,0,0,0,0,0,1,0,0,"15,817"
,,Thomaston,1,0,0,0,0,0,0,0,0,1,"7,468"
,,Torrington,2,0,0,0,0,0,0,1,1,0,"33,631"
,,Wallingford,1,0,0,0,0,0,1,0,0,0,"43,969"
